legacy_controller,legacy_action,http_method,legacy_route,auth_scope,response_shape,modern_module,modern_handler,status,notes
AbstractClassifierController,GetAbstractClassifierTypes,GET,AbstractClassifier/GetAbstractClassifierTypes,unknown,IEnumerable<AbstractClassifierTypeViewModel>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AbstractClassifierController.cs:86
AbstractClassifierController,GetChildrenForAutoComplete,GET,AbstractClassifier/GetChildrenForAutoComplete,unknown,Task<IEnumerable<AbstractClassifierViewModel>>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AbstractClassifierController.cs:104
AbstractClassifierController,GetClassifiersWithoutMe,GET,AbstractClassifier/GetClassifiersWithoutMe,unknown,Task<IEnumerable<AbstractClassifierViewModel>>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AbstractClassifierController.cs:121
AbstractClassifierController,Post,POST,AbstractClassifier/Post,anonymous,Task<HttpResponseMessage>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AbstractClassifierController.cs:32
AbstractClassifierController,Put,PUT,AbstractClassifier/Put,unknown,Task<HttpResponseMessage>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AbstractClassifierController.cs:52
AccountController,GetExternalLogin,GET,Account/ExternalLogin,anonymous,Task<IHttpActionResult>,core/auth/auth-compatibility.module,externalLogin,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:371
AccountController,GetExternalLogins,GET,Account/ExternalLogins,anonymous,Task<IHttpActionResult>,core/auth/auth-compatibility.module,externalLogins,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:272
AccountController,GetInternalLogins,GET,Account/InternalLogins,anonymous,Task<IHttpActionResult>,core/auth/auth-compatibility.module,internalLogins,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:234
AccountController,GetUserInfo,GET,Account/UserInfo,authenticated,Task<IHttpActionResult>,core/auth/auth-compatibility.module,getUserInfo,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:71
AccountController,Logout,ANY,Account/Logout,authenticated,Task<IHttpActionResult>,core/auth/auth-compatibility.module,logout,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:255
AccountController,RegisterExternal,ANY,Account/RegisterExternal,authenticated,Task<IHttpActionResult>,core/auth/auth-compatibility.module,registerExternal,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:313
AccountController,RegisterUser,ANY,Account/Register,anonymous,Task<IHttpActionResult>,core/auth/auth-compatibility.module,register,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:93
AccountController,RequestPasswordReset,ANY,Account/RequestPasswordReset,anonymous,Task<IHttpActionResult>,core/auth/auth-compatibility.module,requestPasswordReset,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:163
AccountController,ResetPassword,ANY,Account/ResetPassword,anonymous,Task<IHttpActionResult>,core/auth/auth-compatibility.module,resetPassword,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:208
AccountController,VerifyEmail,ANY,Account/VerifyEmail,anonymous,Task<IHttpActionResult>,core/auth/auth-compatibility.module,verifyEmail,unmapped,src/api/Shrooms.Presentation.Api/Controllers/AccountController.cs:183
BlacklistController,AddToBlacklist,POST,Blacklist,permission:AdministrationPermissions.Blacklist,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/BlacklistController.cs:32
BlacklistController,CancelBlacklist,PUT,Blacklist/{id}/Cancel,permission:AdministrationPermissions.Blacklist,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/BlacklistController.cs:80
BlacklistController,GetActiveBlacklist,GET,Blacklist/{id},permission:BasicPermissions.Blacklist,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/BlacklistController.cs:97
BlacklistController,GetBlacklistHistory,GET,Blacklist/{id}/History,authenticated,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/BlacklistController.cs:113
BlacklistController,UpdateBlacklist,PUT,Blacklist,permission:AdministrationPermissions.Blacklist,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/BlacklistController.cs:56
CertificateController,Delete,DELETE,Certificate/Delete,permission:BasicPermissions.Certificate,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/CertificateController.cs:96
CertificateController,GetForAutocomplete,GET,Certificate/GetForAutocomplete,permission:BasicPermissions.Certificate,Task<IEnumerable<CertificateAutoCompleteViewModel>>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/CertificateController.cs:41
CertificateController,Post,POST,Certificate/Post,permission:BasicPermissions.Certificate,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/CertificateController.cs:58
CertificateController,Put,PUT,Certificate/Put,permission:BasicPermissions.Certificate,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/CertificateController.cs:123
CommentController,CreateComment,POST,Comment/Create,permission:BasicPermissions.Comment|BasicPermissions.Event,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/CommentController.cs:43
CommentController,DeleteComment,DELETE,Comment/Delete,permission:BasicPermissions.Comment|BasicPermissions.Event,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/CommentController.cs:113
CommentController,EditComment,PUT,Comment/Edit,permission:BasicPermissions.Comment|BasicPermissions.Event,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/CommentController.cs:81
