legacy_state,legacy_url,full_url,template,controller,auth_scope,module_file,modern_route,modern_component,status,notes
RedirectTo,/redirectTo/:state/,/redirectTo/:state/,,,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:24
Root,,,,,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:51
Root.WithOrg,/:organizationName,/:organizationName,app/layout/layout.html,layoutController,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:78
Root.WithOrg.AccessDenied,/AccessDenied,/:organizationName/AccessDenied,app/access-denied.html,,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:103
Root.WithOrg.Admin,/Admin,/:organizationName/Admin,,,unspecified,src/webapp/src/client/app/routing.js,TBD,TBD,unmapped,src/webapp/src/client/app/routing.js:116
Root.WithOrg.Admin.ApplicationUsers,/Users?roomId&sort&dir&page&s&filter,/:organizationName/Admin/Users?roomId&sort&dir&page&s&filter,app/users/users.html,applicationUserListController,unspecified,src/webapp/src/client/app/users/users.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/users/users.module.js:12
Root.WithOrg.Admin.Customization,/Customization,/:organizationName/Admin/Customization,,,unspecified,src/webapp/src/client/app/customization/customization.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/customization.module.js:24
Root.WithOrg.Admin.Customization.EventTypes,/EventTypes,/:organizationName/Admin/Customization/EventTypes,,,unspecified,src/webapp/src/client/app/customization/event-types/event-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/event-types/event-types.module.js:20
Root.WithOrg.Admin.Customization.EventTypes.Create,/Create,/:organizationName/Admin/Customization/EventTypes/Create,app/customization/event-types/create-edit/create-edit.html,eventTypesCreateController,unspecified,src/webapp/src/client/app/customization/event-types/event-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/event-types/event-types.module.js:37
Root.WithOrg.Admin.Customization.EventTypes.Edit,/Edit/:id,/:organizationName/Admin/Customization/EventTypes/Edit/:id,app/customization/event-types/create-edit/create-edit.html,eventTypesCreateController,unspecified,src/webapp/src/client/app/customization/event-types/event-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/event-types/event-types.module.js:45
Root.WithOrg.Admin.Customization.EventTypes.List,,/:organizationName/Admin/Customization/EventTypes,app/customization/event-types/event-types.html,eventTypesController,unspecified,src/webapp/src/client/app/customization/event-types/event-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/event-types/event-types.module.js:28
Root.WithOrg.Admin.Customization.ExternalLinks,/ExternalLinks,/:organizationName/Admin/Customization/ExternalLinks,app/customization/external-links/external-links.html,externalLinksController,unspecified,src/webapp/src/client/app/customization/external-links/external-links.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/external-links/external-links.module.js:22
Root.WithOrg.Admin.Customization.JobTitles,/JobTitles,/:organizationName/Admin/Customization/JobTitles,,,unspecified,src/webapp/src/client/app/customization/job-titles/job-titles.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/job-titles/job-titles.module.js:17
Root.WithOrg.Admin.Customization.JobTitles.Create,/Create,/:organizationName/Admin/Customization/JobTitles/Create,app/customization/job-titles/create-edit/create-edit.html,jobTitlesCreateController,unspecified,src/webapp/src/client/app/customization/job-titles/job-titles.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/job-titles/job-titles.module.js:34
Root.WithOrg.Admin.Customization.JobTitles.Edit,/Edit/:id,/:organizationName/Admin/Customization/JobTitles/Edit/:id,app/customization/job-titles/create-edit/create-edit.html,jobTitlesCreateController,unspecified,src/webapp/src/client/app/customization/job-titles/job-titles.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/job-titles/job-titles.module.js:43
Root.WithOrg.Admin.Customization.JobTitles.List,,/:organizationName/Admin/Customization/JobTitles,app/customization/job-titles/job-titles.html,jobTitlesController,unspecified,src/webapp/src/client/app/customization/job-titles/job-titles.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/job-titles/job-titles.module.js:25
Root.WithOrg.Admin.Customization.KudosShop,/KudosShop,/:organizationName/Admin/Customization/KudosShop,,,unspecified,src/webapp/src/client/app/customization/kudos-shop/kudos-shop.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/kudos-shop/kudos-shop.module.js:20
Root.WithOrg.Admin.Customization.KudosShop.Create,/Create,/:organizationName/Admin/Customization/KudosShop/Create,app/customization/kudos-shop/create-edit/create-edit.html,kudosShopCreateController,unspecified,src/webapp/src/client/app/customization/kudos-shop/kudos-shop.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/kudos-shop/kudos-shop.module.js:37
Root.WithOrg.Admin.Customization.KudosShop.Edit,/Edit/:id,/:organizationName/Admin/Customization/KudosShop/Edit/:id,app/customization/kudos-shop/create-edit/create-edit.html,kudosShopCreateController,unspecified,src/webapp/src/client/app/customization/kudos-shop/kudos-shop.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/kudos-shop/kudos-shop.module.js:46
Root.WithOrg.Admin.Customization.KudosShop.List,,/:organizationName/Admin/Customization/KudosShop,app/customization/kudos-shop/kudos-shop.html,kudosShopController,unspecified,src/webapp/src/client/app/customization/kudos-shop/kudos-shop.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/kudos-shop/kudos-shop.module.js:28
Root.WithOrg.Admin.Customization.KudosTypes,/KudosTypes,/:organizationName/Admin/Customization/KudosTypes,,,unspecified,src/webapp/src/client/app/customization/kudos-types/kudos-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/kudos-types/kudos-types.module.js:16
Root.WithOrg.Admin.Customization.KudosTypes.Create,/Create,/:organizationName/Admin/Customization/KudosTypes/Create,app/customization/kudos-types/create-edit/create-edit.html,createEditKudosTypesController,unspecified,src/webapp/src/client/app/customization/kudos-types/kudos-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/kudos-types/kudos-types.module.js:33
Root.WithOrg.Admin.Customization.KudosTypes.Edit,/Edit/:id,/:organizationName/Admin/Customization/KudosTypes/Edit/:id,app/customization/kudos-types/create-edit/create-edit.html,createEditKudosTypesController,unspecified,src/webapp/src/client/app/customization/kudos-types/kudos-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/kudos-types/kudos-types.module.js:42
Root.WithOrg.Admin.Customization.KudosTypes.List,,/:organizationName/Admin/Customization/KudosTypes,app/customization/kudos-types/list/list.html,kudosTypesListController,unspecified,src/webapp/src/client/app/customization/kudos-types/kudos-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/kudos-types/kudos-types.module.js:24
Root.WithOrg.Admin.Customization.List,,/:organizationName/Admin/Customization,app/customization/customization.html,customizationController,unspecified,src/webapp/src/client/app/customization/customization.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/customization.module.js:41
Root.WithOrg.Admin.Customization.OrganizationSettings,/OrganizationSettings,/:organizationName/Admin/Customization/OrganizationSettings,app/customization/organization-settings/organization-settings.html,organizationSettingsController,unspecified,src/webapp/src/client/app/customization/organization-settings/organization-settings.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/organization-settings/organization-settings.module.js:17
Root.WithOrg.Admin.Customization.ServiceRequestsTypes,/ServiceRequestsTypes,/:organizationName/Admin/Customization/ServiceRequestsTypes,,,unspecified,src/webapp/src/client/app/customization/service-request-types/service-request-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/service-request-types/service-request-types.module.js:20
Root.WithOrg.Admin.Customization.ServiceRequestsTypes.Create,/Create,/:organizationName/Admin/Customization/ServiceRequestsTypes/Create,app/customization/service-request-types/create-edit/create-edit.html,serviceRequestsTypesCreateEditController,unspecified,src/webapp/src/client/app/customization/service-request-types/service-request-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/service-request-types/service-request-types.module.js:37
Root.WithOrg.Admin.Customization.ServiceRequestsTypes.Edit,/Edit/:id,/:organizationName/Admin/Customization/ServiceRequestsTypes/Edit/:id,app/customization/service-request-types/create-edit/create-edit.html,serviceRequestsTypesCreateEditController,unspecified,src/webapp/src/client/app/customization/service-request-types/service-request-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/service-request-types/service-request-types.module.js:46
Root.WithOrg.Admin.Customization.ServiceRequestsTypes.List,,/:organizationName/Admin/Customization/ServiceRequestsTypes,app/customization/service-request-types/list/list.html,serviceRequestsTypesListController,unspecified,src/webapp/src/client/app/customization/service-request-types/service-request-types.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/customization/service-request-types/service-request-types.module.js:28
