legacy_controller,legacy_action,http_method,legacy_route,auth_scope,response_shape,modern_module,modern_handler,status,notes
CommentController,CreateComment,POST,Comment/Create,permission:BasicPermissions.Comment|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,createComment,mapped,src/api/Shrooms.Presentation.Api/Controllers/CommentController.cs:43
CommentController,DeleteComment,DELETE,Comment/Delete,permission:BasicPermissions.Comment|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,deleteComment,mapped,src/api/Shrooms.Presentation.Api/Controllers/CommentController.cs:113
CommentController,EditComment,PUT,Comment/Edit,permission:BasicPermissions.Comment|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,editComment,mapped,src/api/Shrooms.Presentation.Api/Controllers/CommentController.cs:81
CommentController,HideComment,PUT,Comment/Hide,permission:BasicPermissions.Comment|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,hideComment,mapped,src/api/Shrooms.Presentation.Api/Controllers/CommentController.cs:138
CommentController,ToggleLike,PUT,Comment/Like,permission:BasicPermissions.Comment|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,likeComment,mapped,src/api/Shrooms.Presentation.Api/Controllers/CommentController.cs:163
NotificationController,GetAll,GET,Notification/GetAll,authenticated,Task<IEnumerable<NotificationViewModel>>,core/social/social-compatibility.module,getNotifications,mapped,src/api/Shrooms.Presentation.Api/Controllers/NotificationController.cs:26
NotificationController,MarkAllAsRead,PUT,Notification/MarkAllAsRead,authenticated,Task<IHttpActionResult>,core/social/social-compatibility.module,markAllNotificationsAsRead,mapped,src/api/Shrooms.Presentation.Api/Controllers/NotificationController.cs:42
NotificationController,MarkAsRead,PUT,Notification/MarkAsRead,authenticated,Task<IHttpActionResult>,core/social/social-compatibility.module,markNotificationsAsRead,mapped,src/api/Shrooms.Presentation.Api/Controllers/NotificationController.cs:34
PostController,CreatePost,POST,Post/Create,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,createPost,mapped,src/api/Shrooms.Presentation.Api/Controllers/PostController.cs:70
PostController,DeletePost,DELETE,Post/Delete,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,deletePost,mapped,src/api/Shrooms.Presentation.Api/Controllers/PostController.cs:142
PostController,EditPost,PUT,Post/Edit,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,editPost,mapped,src/api/Shrooms.Presentation.Api/Controllers/PostController.cs:109
PostController,GetPost,GET,Post/GetPost,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,getPost,mapped,src/api/Shrooms.Presentation.Api/Controllers/PostController.cs:46
PostController,HidePost,PUT,Post/Hide,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,hidePost,mapped,src/api/Shrooms.Presentation.Api/Controllers/PostController.cs:168
PostController,ToggleLike,PUT,Post/Like,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,core/social/social-compatibility.module,likePost,mapped,src/api/Shrooms.Presentation.Api/Controllers/PostController.cs:194
PostController,UnwatchPost,PUT,Post/Unwatch,permission:BasicPermissions.Post,Task<IHttpActionResult>,core/social/social-compatibility.module,unwatchPost,mapped,src/api/Shrooms.Presentation.Api/Controllers/PostController.cs:241
PostController,WatchPost,PUT,Post/Watch,permission:BasicPermissions.Post,Task<IHttpActionResult>,core/social/social-compatibility.module,watchPost,mapped,src/api/Shrooms.Presentation.Api/Controllers/PostController.cs:218
UserController,ChangeNotifications,PUT,User/Notifications,permission:BasicPermissions.ApplicationUser,Task<IHttpActionResult>,core/social/social-compatibility.module,updateUserNotificationSettings,mapped,src/api/Shrooms.Presentation.Api/Controllers/UserController.cs:99
UserController,GetWallNotifications,GET,User/Notifications,permission:BasicPermissions.ApplicationUser,Task<IHttpActionResult>,core/social/social-compatibility.module,getUserNotificationSettings,mapped,src/api/Shrooms.Presentation.Api/Controllers/UserController.cs:89
WallController,CreateWall,POST,Wall/Create,permission:BasicPermissions.Wall,Task<IHttpActionResult>,core/social/social-compatibility.module,createWall,mapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:243
